id,shop_name,niche_A_B,city,email,instagram,phone,vibe_note,demo_built,screenshot,email1_date,email2_date,email3_date,replied,edit_requested,link_sent,reached_pricing,paid,domain,status,notes
1,,A,,,,,,no,no,,,,,,,no,no,,new,
2,,A,,,,,,no,no,,,,,,,no,no,,new,
3,,A,,,,,,no,no,,,,,,,no,no,,new,
4,,A,,,,,,no,no,,,,,,,no,no,,new,
5,,A,,,,,,no,no,,,,,,,no,no,,new,
6,,B,,,,,,no,no,,,,,,,no,no,,new,
7,,B,,,,,,no,no,,,,,,,no,no,,new,
8,,B,,,,,,no,no,,,,,,,no,no,,new,
9,,B,,,,,,no,no,,,,,,,no,no,,new,
10,,B,,,,,,no,no,,,,,,,no,no,,new,
